"sampleID"	"kd_x"	"kd_y"	"gc_x"	"gc_y"
"AC0228-C"	29.7196302222501	-0.757317656468993	30.31318862	-0.69647139
"AC0229-C"	29.7159080140176	-0.754192724376169	30.26946517	-0.63617552
"AC0230-C"	29.7045331292762	-0.754856016752523	30.10468546	-0.72432961
"AC0231-C"	29.7335316813471	-0.758230820519167	30.24177868	-0.75323965
"AC0232-C"	29.7126553861155	-0.753167796566972	30.31848917	-0.73823972
"AC0233-C"	29.7101820249809	-0.750291611903454	30.10434999	-0.6151816
"AC0234-C"	29.7157097232291	-0.761249818080414	29.66523949	-0.18895297
"AC0235-C"	29.7038146144459	-0.750738326562769	30.1365025	-0.5822219
"AC0236-C"	29.706124491897	-0.749017378831828	30.19539665	-0.699955
"AC0237-C"	29.732880879501	-0.759717689323628	30.65783624	-0.60287072
"AC0238-C"	29.7144566560223	-0.764412378552217	30.39835731	-0.56743377
"AC0239-C"	29.690945862552	-0.754253585267347	30.11153444	-0.72435287
"AC0240-C"	29.6996654994741	-0.744927332335161	29.91895885	-0.68329513
"AC0241-C"	29.8156466019559	-0.768451769295535	30.33250217	-0.36049051
"AC0242-C"	29.7100097619897	-0.766005322996395	29.97774639	-0.68725529
"AC0243-C"	29.713696314567	-0.765507454627233	30.36927177	-0.73149642
"AC0244-C"	29.718659817897	-0.75362044029729	29.93898695	0.04876596
"AC0245-C"	29.7335492116187	-0.766358096494257	30.11124381	-0.75976539
"AC0246-C"	29.7789082633268	-0.775441860921103	30.7529804	-0.53588441
"AC0247-C"	29.7203608073543	-0.75907456155528	29.82039887	-0.37108087
"AC0248-C"	29.7106126835659	-0.748073733709529	30.16373712	-0.68049148
"AC0249-C"	29.7232279587153	-0.74656701163707	30.13552035	-0.60456939
"AC0250-C"	29.6945753119718	-0.740087077185145	29.91031987	-0.63535784
"AC0251-C"	29.7120220686912	-0.750237029983068	30.04297481	-0.66491569
"AC0252-C"	29.7211843992162	-0.746136259844806	30.20137549	-0.57152675
"AC0253-C"	29.7645784914847	-0.759359175061487	30.44061478	-0.78579878
"AC0254-C"	29.7076951030982	-0.754477928395491	29.97672925	-0.77256404
"AC0255-C"	29.7063065273599	-0.749051567571414	30.19138881	-0.67784218
"AC0256-C"	29.7195930102204	-0.756298208750582	30.10865716	-0.70119135
"AC0257-C"	29.7053539534832	-0.750021142340646	30.25118165	-0.64689192
"AC0258-C"	29.705988272783	-0.748308259323327	30.01310261	-0.6364982
"AC0259-C"	29.7315170615431	-0.757456791094551	30.30186398	-0.56424727
"AC0260-C"	29.7022667081115	-0.751053597913711	30.15985294	-0.53191152
"AC0261-C"	29.7205591367672	-0.754502090132666	30.26758161	-0.66633869
"AC0262-C"	29.7078501753638	-0.754965258179529	30.010562	-0.68118659
"AC0263-C"	29.7059561285855	-0.752535183753952	30.36586708	-0.56041793
"AC0264-C"	29.6926525385578	-0.74913815141245	30.10507149	-0.73620333
"AC0265-C"	29.6917125258476	-0.744512920632567	30.09620378	-0.57636864
"AC0266-C"	29.7207262638559	-0.751408850175338	29.88654116	-0.63406431
"AC0267-C"	29.7159315763603	-0.75339995299257	30.23057971	-0.67074089
"AC0268-C"	29.7263839361946	-0.754229748369081	30.40032693	-0.65988798
"AC0269-C"	29.7020531776524	-0.755219986520795	30.14375219	-0.68588997
"AC0270-C"	29.7173696554514	-0.760597724066648	30.3103989	-0.78823447
"AC0271-C"	29.684666863067	-0.759554605484424	30.14119469	-0.59774583
"AC0272-C"	29.7210701165517	-0.75938055170215	30.28006095	-0.8827841
"AC0273-C"	29.7134564261369	-0.76078394094293	30.19985003	-0.69735704
"AC0274-C"	29.7160889129693	-0.751135117379409	30.27058447	-0.73636685
"AC0275-C"	29.7520991849371	-0.73475986550179	29.76913283	-0.30523364
"AC0276-C"	29.7178812691285	-0.750717108661564	30.34414769	-0.64024172
"AC0277-C"	29.6870494057197	-0.754242801859166	30.04813885	-0.72090483
"AC0278-C"	29.7165118016273	-0.755688616899467	30.38777814	-0.60697051
"AC0279-C"	29.7178000461815	-0.755447599885605	30.28790348	-0.65827114
"AC0280-C"	29.7044127609452	-0.751984996355003	30.15005748	-0.65084285
"AC0281-C"	29.6958846146468	-0.748222798697774	29.92994348	-0.62511619
"AC0282-C"	29.7395543822	-0.757546985162441	30.73632672	-0.614049
"AC0283-C"	29.7269228593506	-0.758636244160906	30.35172848	-0.70401368
"AC0284-C"	29.7097278933041	-0.74887795760318	30.29443469	-0.63817902
"AC0285-C"	29.7083972292539	-0.753002721616905	30.40441855	-0.58282133
"AC0286-C"	29.7156222634971	-0.750376718169146	30.19741816	-0.62650878
"AC0287-C"	29.7040215732169	-0.74464393613056	30.1705961	-0.71042035
"AC0288-C"	29.7115521913985	-0.749287661284268	30.12869224	-0.76485659
"AC0289-C"	29.6726821999688	-0.754014825597969	29.78103496	-0.57304628
"AC0290-C"	29.7180556153884	-0.747884850576032	30.24512869	-0.71325527
"AC0291-C"	29.7127350859557	-0.753140171031384	30.20728312	-0.70110326
"AC0292-C"	29.7092171368555	-0.749370609593602	30.10964125	-0.45011879
"AC0293-C"	29.6917580835361	-0.783596361336349	29.99979567	-0.18471969
"AC0294-C"	29.706448205817	-0.754567447144236	30.2529465	-0.63646435
"AC0295-C"	29.7417746423832	-0.751878161881978	30.42407976	-0.62234529
"AC0296-C"	29.7218986727868	-0.759441190505194	30.29637808	-0.69114768
"AC0297-C"	29.7011651787378	-0.753434591872626	29.95324736	-0.71719121
"AC0298-C"	29.7061980758755	-0.749109331131766	30.18211515	-0.72388373
"AC0299-C"	29.7243826215243	-0.762386083225639	30.15001187	-0.74755041
"AC0310-C"	-2.98428192453413	53.4499923950865	-2.67247772	52.98124203
"AC0315-C"	-2.97209252266322	53.4214519586563	-2.9118117	53.37809902
"AC0316-C"	-2.97178560061129	53.4049919243346	-2.96857392	53.37313279
"AC0318-C"	-2.9634443333881	53.4064004282056	-2.96300553	53.37022135
"AC0320-C"	-2.97244692244775	53.4085649450657	-2.95519631	53.36741404
"AC0324-C"	-2.97281517224802	53.4011037544624	-2.97910549	53.35410339
"AC0325-C"	-2.96626038411044	53.415095702353	-2.98556156	53.50438618
"AC0326-C"	-2.97045832203936	53.4047251575336	-2.96862575	53.38194644
"AC0329-C"	-2.9653680546794	53.415919000419	-2.91752678	53.46756551
"AC0330-C"	-2.9561326728346	53.4222159199178	-2.83812052	53.46398095
"AC0331-C"	-3.00050842951435	53.4560232272202	-2.67243446	52.9655543
"AC0332-C"	-2.97545501459512	53.424376040458	-2.98181465	53.38673694
"AC0333-C"	-2.97156985908395	53.410310943977	-2.98259632	53.50815964
"AC0335-C"	-2.9667403463151	53.4050950902653	-2.91767961	53.38849676
"AC0336-C"	-2.97305310535168	53.4111827100234	-2.96525408	53.38780359
"AC0337-C"	-2.95867143274983	53.4020276436976	-2.97469767	53.36103766
"AC0338-C"	-2.97191431235859	53.4042165286716	-2.95998841	53.35760635
"AC0341-C"	-2.96124350198759	53.4100430285629	-2.98327529	53.52003749
"AC0345-C"	-2.96899501728649	53.4041583193432	-2.98531516	53.37736826
"AC0346-C"	-2.96102269368596	53.410728339103	-2.98190137	53.5194774
"AC0347-C"	-2.96822993929074	53.4120993230781	-2.98211846	53.51754283
"AC0349-C"	-2.96503391231394	53.4143291143501	-2.98139414	53.52623705
"AC0382-C"	-2.93152567467143	53.3782656628542	-1.14988525	50.6898949
"AC0384-C"	-2.96826904772445	53.4131172735638	-2.84536144	53.48380103
"AC0386-C"	-2.96494473250774	53.3704428800522	-2.25345163	52.47466226
"AC0388-C"	-2.97016124252917	53.4163764396133	-2.90519505	53.47643702
"AC0390-C"	-2.97075813981628	53.4196793512103	-2.94548237	53.4081386
"AC0391-C"	-2.96578973806216	53.4059686974534	-2.98816136	53.49381226
"AC0398-C"	-2.96751415385764	53.4467891746523	3.59865405	42.91753492
"AC0406-C"	-2.93665843523124	53.3795678306163	-0.92231503	48.24795749
"AD0283-C"	-2.96855902027679	53.4173311058307	-2.92260609	53.45776405
"AD0284-C"	-2.97199556112094	53.415710751451	-2.91758452	53.48004603
"AD0285-C"	-2.96739212756352	53.4303585389997	-2.84248389	53.45420999
