"err"	"xerr"	"yerr"	"rep"	"sigma"	"skew"
1.88105950556643	-0.461336563535034	-0.281208959868335	"3"	"0.4"	"0.6"
2.53628048241937	0.392702698915929	-0.528821219136011	"3"	"0.4"	"0.7"
2.77977987247311	0.142200967780313	-1.05908168340121	"3"	"0.4"	"0.8"
3.00651882160212	-1.35258468979239	-0.89405167284335	"3"	"0.4"	"0.9"
1.38418589958121	-0.0309140565926378	-0.00135297474830521	"3"	"0.4"	"0"
2.3218273695924	0.191628960684754	-0.420436767895987	"3"	"0.4"	"0.6"
1.85926630882461	-0.362872628772709	-0.290664062597157	"3"	"0.4"	"0.7"
2.47329918213438	-0.212343038486564	-0.418028305526119	"3"	"0.4"	"0.8"
3.47988354937524	-0.15244733265018	0.358898046894405	"3"	"0.4"	"0.9"
1.5905927416563	-0.267733972874764	0.531338349962931	"3"	"0.4"	"0"
2.10079270133065	-0.600601482923485	0.140404256049431	"3"	"0.4"	"0.6"
2.14619276794745	0.165788557359793	-0.114230486676133	"3"	"0.4"	"0.7"
3.05405031591626	-0.199571078007302	-0.181646301721119	"3"	"0.4"	"0.8"
5.20086005357985	-2.01141920093496	1.35792859233984	"3"	"0.4"	"0.9"
1.6127516572395	-0.0562168773787827	-0.256094019895342	"3"	"0.4"	"0"
2.08497819971348	0.600842088726984	-0.364680092628672	"3"	"0.4"	"0.6"
2.19391150988079	0.83142631355525	0.673925095410033	"3"	"0.4"	"0.7"
2.67781195453656	0.908633031874557	-0.184014333473704	"3"	"0.4"	"0.8"
3.56801822385138	0.49894925447507	-1.41777457778524	"3"	"0.4"	"0.9"
1.29587543042418	-0.20295622902134	0.182628044193259	"3"	"0.4"	"0"
2.01101264809357	-0.53163852942669	-0.243922253112095	"3"	"0.4"	"0.6"
1.93942124996136	0.272680887661587	-0.622794129018792	"3"	"0.4"	"0.7"
2.83237658969742	-0.34615560894392	-1.3370708950537	"3"	"0.4"	"0.8"
4.14045506766908	-0.250202812199139	-0.418629830792288	"3"	"0.4"	"0.9"
1.82592051828367	-0.325200553599762	-0.7415004501931	"3"	"0.4"	"0"
2.16789001154823	0.209130495033505	-0.366195709205727	"3"	"0.4"	"."
1.84433826094708	0.12070115974679	0.546951110483567	"3"	"0.4"	"."
2.56708035204172	-0.328180947674537	0.0133893697893677	"3"	"0.4"	"."
3.1088230868435	0.504951308201297	0.270488029631446	"3"	"0.4"	"."
1.49670576068302	0.119694764026685	-0.0681299713551502	"3"	"0.4"	"0"
2.38548188062734	0.987094474099867	-0.343115640853374	"4"	"0.4"	"0.6"
2.13448499660291	0.430139558915614	0.206647902776209	"4"	"0.4"	"0.7"
2.33267429033713	0.0199203473029181	0.108983912459378	"4"	"0.4"	"0.8"
3.292680340619	-0.00438446892860905	0.657061952991858	"4"	"0.4"	"0.9"
1.66005397032208	0.229488090840296	0.499545223193096	"4"	"0.4"	"0"
1.86279350828351	0.70230497226814	0.053667072035719	"4"	"0.4"	"0.6"
2.27260698122325	0.0820434710339957	0.145914046237091	"4"	"0.4"	"0.7"
2.48999849132673	-0.0794750553076807	-0.2601895405647	"4"	"0.4"	"0.8"
3.97990455548215	-0.789345422932631	0.553123941974005	"4"	"0.4"	"0.9"
1.52128838610966	0.212202107188455	0.0849859030473077	"4"	"0.4"	"0"
2.23875548499851	-0.565346986136978	-0.642326999398161	"4"	"0.4"	"0.6"
