	sampleID	x	y
367	4352828083	-4.472	11.233
368	4352828605	21.017	4.283
369	4352830287	-8.15	12.89
370	4352830646	14.442	5.747000000000001
371	4352831679	-4.535	11.235
372	4352832639	13.558	4.341
373	4352833321	13.302	-8.884
374	4352834837	-7.87	12.69
375	4352836473	29.701	-0.7509999999999999
376	4352836703	-7.81	10.83
377	4352837262	35.299	-23.716
378	4352837522	-14.917	13.567
379	4352837989	34.026	0.77
380	4352838409	21.017	4.283
381	4352838727	-7.87	12.69
382	4352839674	21.017	4.283
383	4352839831	14.242	10.425
384	4352839960	-7.81	10.83
385	4352842313	21.017	4.283
386	4352842393	-4.823	5.898
387	4352844253	-14.917	13.567
388	4352844738	14.442	5.747000000000001
389	4352844894	13.302	-8.884
390	4352845078	13.302	-8.884
391	4352845375	13.554	7.3
392	4352845670	-15.649	11.957
393	4352846409	-15.9	13.55
394	4352846550	39.909	-3.511
395	4352846558	13.844	4.777
396	4352846700	13.844	4.777
397	4352846836	34.026	0.77
398	4352847323	9.455	0.384
399	4352847472	29.701	-0.7509999999999999
400	4352847551	39.909	-3.511
401	4352849676	18.583	4.367
402	4352849873	-0.261	6.093999999999999
403	4352849960	-4.472	11.233
404	4352850296	-7.87	12.69
405	4352850367	-4.235	11.15
406	4352851370	38.948	-4.94
407	4352851683	-0.2189999999999999	5.667999999999999
408	4352851720	21.017	4.283
409	4352851784	-14.917	13.567
410	4352851882	38.948	-4.94
411	4352852159	-4.472	11.233
412	4352852269	13.503	8.888
413	4352852831	13.859000000000002	9.703
414	4352853002	-4.472	11.233
415	4352853133	-4.823	5.898
416	4352853134	-4.823	5.898
417	4352853581	-14.917	13.567
418	4352853676	-14.917	13.567
419	4352853914	-4.472	11.233
420	4352854173	38.948	-4.94
421	4352854174	38.948	-4.94
422	4352854459	34.026	0.77
423	4352854460	34.026	0.77
424	4352854706	-15.9	13.55
425	4352854751	-14.222	12.272
426	4352854829	13.844	4.777
427	4352855539	21.017	4.283
428	4352855838	-15.582	11.890999999999998
429	4352856385	-4.235	11.15
430	4352857276	34.026	0.77
431	4352857836	-9.53	8.48
432	4352858790	-4.535	11.235
433	4352859002	-14.917	13.567
434	4352859594	18.583	4.367
435	4352860191	13.558	4.341
436	4352860572	-15.9	13.55
437	4352861765	-4.535	11.235
438	4352861913	-4.535	11.235
439	4352861916	13.302	-8.884
440	4352862254	-8.08	12.81
441	4352862737	-9.53	8.48
442	4352863099	-15.582	11.890999999999998
443	4352864069	29.701	-0.7509999999999999
444	4352864798	35.299	-23.716
445	4352865724	14.255	10.495
446	4352865979	21.017	4.283
447	4352866395	-1.774	4.912
448	4352866976	-14.917	13.567
449	4352870045	21.017	4.283
450	4352870477	-8.2	12.2
451	4352870505	31.651	-1.962
452	4352871111	-9.53	8.48
453	4352871405	-7.81	10.83
454	4352871406	-7.81	10.83
455	4352871552	-15.649	11.957
456	4352871760	39.909	-3.511
457	4352871788	13.302	-8.884
458	4352871804	13.844	4.777
459	4352872085	-4.472	11.233
460	4352872170	-5.9	13.21
461	4352872575	9.455	0.384
462	4352873090	-1.774	4.912
463	4352873135	-4.823	5.898
464	4352873354	-15.9	13.55
465	4352873645	9.455	0.384
466	4352873910	-9.53	8.48
467	4352874274	39.909	-3.511
468	4352875172	13.53	8.533999999999999
469	4352875877	-9.53	8.48
470	4352876050	38.948	-4.94
471	4352876116	-8.33	11.47
472	4352876125	-15.9	13.583
473	4352876589	-8.33	11.47
474	4352876779	-15.582	11.890999999999998
475	4352877242	39.909	-3.511
476	4352878154	13.558	4.341
477	4352878197	34.026	0.77
478	4352878995	18.583	4.367
479	4352879009	13.558	4.341
480	4352879173	-4.472	11.233
481	4352879671	14.149	10.05
482	4352881199	14.442	5.747000000000001
483	4352882039	38.948	-4.94
484	4352883011	-4.235	11.15
485	4352883290	34.026	0.77
486	4352885322	31.651	-1.962
487	4352885379	29.701	-0.7509999999999999
488	4352885900	13.4	7.322999999999999
489	4352885971	35.299	-23.716
490	4352885990	-4.472	11.233
491	4352886907	9.455	0.384
492	4352887388	29.701	-0.7509999999999999
493	4352888201	13.558	4.341
494	4352889742	14.442	5.747000000000001
495	4352889841	34.026	0.77
496	4352890726	21.017	4.283
497	4352890767	-4.823	5.898
498	4352890958	-14.917	13.567
499	4352892264	-4.823	5.898
500	4352894080	8.7	3.7
501	4352894744	18.583	4.367
502	4352895358	-4.823	5.898
503	4352896132	-5.9	13.21
504	4352896270	8.7	3.7
505	4352897271	13.302	-8.884
506	4352897432	14.254	10.3
507	4352898922	13.558	4.341
508	4352899035	-1.17	12.06
509	4352899572	14.242	10.425
510	4352901818	13.302	-8.884
511	4352902494	39.909	-3.511
512	4352902528	38.948	-4.94
513	4352902624	39.909	-3.511
514	4352902757	13.302	-8.884
515	4352902768	-14.917	13.567
516	4352903377	-14.917	13.567
517	4352904010	-14.917	13.567
518	4352904054	34.026	0.77
519	4352905146	-0.261	6.093999999999999
520	4352905669	39.909	-3.511
521	4352906010	-6.13	13.2
522	4352906026	-4.823	5.898
523	4352906334	9.455	0.384
524	4352906643	9.455	0.384
525	4352906880	-15.9	13.55
526	4352906897	-4.535	11.235
